date,SREN,UBS,NOVN
2023-12-12,99.940002,25.0,82.81591
2023-12-13,100.449997,25.01,83.567642
2023-12-14,95.5,25.950001,82.478592
2023-12-15,95.639999,25.65,81.717224
2023-12-18,95.980003,25.35,82.170189
2023-12-19,95.959999,26.200001,81.553383
2023-12-20,96.459999,26.42,81.534103
2023-12-21,95.339996,26.32,81.235344
2023-12-22,95.699997,26.34,81.765404
2023-12-27,95.120003,26.370001,81.148598
2023-12-28,94.18,25.940001,80.9944
2023-12-29,94.559998,26.1,81.794327
2024-01-03,95.120003,24.950001,85.41806
2024-01-04,95.940002,25.379999,86.584206
2024-01-05,96.019997,25.51,87.13356
2024-01-08,96.860001,25.6,87.509422
2024-01-09,96.599998,25.389999,87.837097
2024-01-10,96.739998,25.459999,88.232246
2024-01-11,96.980003,25.02,88.010574
2024-01-12,97.800003,25.309999,88.116592
2024-01-15,98.419998,25.299999,88.665932
2024-01-16,98.480003,25.35,89.436943
2024-01-17,97.68,25.290001,90.256142
2024-01-18,96.959999,25.48,89.745346
2024-01-19,97.760002,24.98,90.400703
2024-01-22,99.360001,25.360001,90.978958
2024-01-23,98.260002,25.120001,90.111572
2024-01-24,98.760002,25.57,90.140488
2024-01-25,98.839996,25.709999,89.388756
2024-01-26,99.260002,25.799999,89.109261
2024-01-29,99.279999,25.67,89.542961
2024-01-30,99.099998,26.0,89.23455
2024-01-31,99.099998,25.99,86.160156
2024-02-01,97.760002,25.120001,87.258842
2024-02-02,98.480003,25.780001,86.545662
2024-02-05,100.050003,25.700001,87.085365
2024-02-06,102.199997,24.559999,86.82515
2024-02-07,102.449997,23.9,87.441963
2024-02-08,100.199997,24.139999,84.781982
2024-02-09,99.779999,24.280001,85.109657
2024-02-12,100.449997,24.5,84.502487
2024-02-13,101.949997,24.120001,84.830162
2024-02-14,102.5,24.25,84.618141
2024-02-15,103.599998,24.42,84.772339
2024-02-16,100.949997,24.48,85.234947
2024-02-19,100.150002,24.5,86.314354
2024-02-20,102.75,24.4,87.480507
2024-02-21,101.900002,24.5,86.776962
2024-02-22,103.949997,24.629999,87.287758
2024-02-23,106.5,24.719999,88.309341
2024-02-26,105.849998,24.99,88.049126
2024-02-27,105.0,25.139999,87.364861
2024-02-28,105.800003,25.17,86.738411
2024-02-29,106.599998,25.209999,86.246895
2024-03-01,106.300003,25.5,86.873337
2024-03-04,106.650002,25.5,86.911888
2024-03-05,107.300003,25.620001,87.258842
2024-03-06,108.099998,25.85,87.759995
2024-03-07,109.0,26.16,87.779999
2024-03-08,109.0,27.24,88.110001
2024-03-11,109.849998,27.110001,88.800003
2024-03-12,110.5,27.700001,87.589996
2024-03-13,111.800003,27.83,87.129997
2024-03-14,113.150002,27.809999,86.800003
